mbytes_recived,mbytes_sent_to_worker,mse,mape%,mae,mbytes_sent_for_aggre,agent_id,round_id
0.020847320556640625,0.04461097717285156,0.007731619291007519,58.34375,0.05583203211426735,0.4853954315185547,0,19
0.02116680145263672,0.044673919677734375,0.009100639261305332,62.125,0.05987725406885147,None,1,19
0.019601821899414062,0.0446929931640625,0.008201339282095432,60.09375,0.056177228689193726,None,2,19
0.02042865753173828,0.04454517364501953,0.008400111459195614,61.5625,0.05864516273140907,None,3,19
0.02209758758544922,0.044414520263671875,0.00835007056593895,60.9375,0.057164181023836136,None,4,19
0.0760965347290039,0.08922195434570312,0.0006514874985441566,17.671875,0.01621762104332447,0.4853057861328125,0,20
0.08324718475341797,0.08934783935546875,0.00047855707816779613,14.5390625,0.01358135137706995,None,1,20
0.08328056335449219,0.089385986328125,0.0004810593673028052,14.9765625,0.013782181777060032,None,2,20
0.08193683624267578,0.08909034729003906,0.0005166867049410939,15.28125,0.014015918597579002,None,3,20
0.0878000259399414,0.08882904052734375,0.00035126047441735864,13.109375,0.011560303159058094,None,4,20
0.021048545837402344,0.04466819763183594,0.004715339746326208,46.8125,0.04062872752547264,0.4853515625,0,21
0.021184921264648438,0.04453277587890625,0.004663030616939068,46.0,0.040423911064863205,None,1,21
0.02050495147705078,0.04458904266357422,0.004698848817497492,46.375,0.04053620621562004,None,2,21
0.02206897735595703,0.04466819763183594,0.004760020412504673,46.5625,0.040417034178972244,None,3,21
0.020000457763671875,0.04440784454345703,0.004742458928376436,46.75,0.04037405923008919,None,4,21
0.020717620849609375,0.04461097717285156,0.004594407044351101,49.09375,0.040991198271512985,0.48530101776123047,0,22
0.020626068115234375,0.04482746124267578,0.0045299590565264225,48.1875,0.040803227573633194,None,1,22
0.020694732666015625,0.044615745544433594,0.00462216604501009,49.25,0.041235942393541336,None,2,22
0.021131515502929688,0.04472637176513672,0.004815783817321062,48.625,0.04162667691707611,None,3,22
0.020117759704589844,0.044803619384765625,0.004498917609453201,48.0,0.040157485753297806,None,4,22
0.0207366943359375,0.044684410095214844,0.004506981931626797,52.625,0.041487909853458405,0.48534584045410156,0,23
0.021070480346679688,0.044692039489746094,0.00488428957760334,50.71875,0.04296405240893364,None,1,23
0.020140647888183594,0.044643402099609375,0.004629728849977255,51.90625,0.04159506410360336,None,2,23
0.02270221710205078,0.04485607147216797,0.004955754615366459,53.5625,0.04357738792896271,None,3,23
0.02077770233154297,0.044775962829589844,0.004760062322020531,51.1875,0.04203460365533829,None,4,23
0.020928382873535156,0.044689178466796875,0.004822348710149527,54.875,0.0431210994720459,0.4853544235229492,0,24
0.02215099334716797,0.044800758361816406,0.005159314721822739,56.15625,0.045030150562524796,None,1,24
0.02002716064453125,0.04478645324707031,0.004777973517775536,54.25,0.0426962785422802,None,2,24
0.022307395935058594,0.04493427276611328,0.005583070684224367,59.4375,0.047405682504177094,None,3,24
0.0192413330078125,0.044623374938964844,0.004732439760118723,54.96875,0.042594507336616516,None,4,24
0.07411861419677734,0.08937835693359375,0.00045634599518962204,17.515625,0.013065052218735218,0.48540306091308594,0,25
0.06401920318603516,0.08960151672363281,0.0007545676198787987,21.625,0.016847169026732445,None,1,25
0.06833744049072266,0.08957290649414062,0.0005805664113722742,19.578125,0.015065168030560017,None,2,25
0.07007312774658203,0.08986854553222656,0.000588597496971488,19.5625,0.01490743923932314,None,3,25
0.06573867797851562,0.08924674987792969,0.0006937424186617136,21.015625,0.01605961285531521,None,4,25
0.021132469177246094,0.044605255126953125,0.003527378896251321,46.59375,0.034485671669244766,0.4853839874267578,0,26
0.024017333984375,0.044574737548828125,0.003987968899309635,51.3125,0.03817314654588699,None,1,26
0.025064468383789062,0.044490814208984375,0.004030633717775345,52.53125,0.03830352798104286,None,2,26
0.025548934936523438,0.04474830627441406,0.00421302393078804,52.53125,0.03914378955960274,None,3,26
0.022269248962402344,0.044460296630859375,0.0036022327840328217,46.5625,0.03497174009680748,None,4,26
0.02269458770751953,0.04467964172363281,0.0036154836416244507,48.8125,0.035777583718299866,0.48537731170654297,0,27
0.020607948303222656,0.04471302032470703,0.0034797529224306345,49.25,0.03520125150680542,None,1,27
0.021287918090820312,0.044592857360839844,0.0035697459243237972,49.4375,0.03524966165423393,None,2,27
0.021648406982421875,0.04451751708984375,0.003766686422750354,51.1875,0.036849722266197205,None,3,27
0.021745681762695312,0.04492378234863281,0.0034332105424255133,48.5,0.035059232264757156,None,4,27
0.02251148223876953,0.04460906982421875,0.0035919025540351868,50.15625,0.036575112491846085,0.48534297943115234,0,28
0.021715164184570312,0.04462432861328125,0.0036581524182111025,51.03125,0.03614019230008125,None,1,28
0.022154808044433594,0.0444183349609375,0.003527590073645115,51.8125,0.035292789340019226,None,2,28
0.024541854858398438,0.0445556640625,0.0039613693952560425,55.21875,0.03811226785182953,None,3,28
0.021124839782714844,0.04465770721435547,0.003334541106596589,51.65625,0.035449739545583725,None,4,28
0.07470703125,0.08937263488769531,0.0004020863270852715,17.375,0.012248532846570015,0.4853649139404297,0,29
0.06767940521240234,0.08873176574707031,0.0006175963208079338,21.578125,0.014752762392163277,None,1,29
0.06418132781982422,0.08906936645507812,0.0006153516005724669,22.65625,0.015214797109365463,None,2,29
0.06323814392089844,0.08918190002441406,0.0005005691782571375,22.75,0.014219226315617561,None,3,29
0.07803153991699219,0.08940887451171875,0.00044485845137387514,17.375,0.011736285872757435,None,4,29
