round_id,client_id,codec_class_used,wmape,wmspe_sqrt,mse,mape,mspe_sqrt,w_mean_of_vec,model_size,compressed_bytes,basic_raw_bytes,compression_ratio,entropy_real_rate,global_eval_loss,global_eval_acc,global_eval_f1,global_eval_auc,train_loss,train_acc,train_f1,train_auc,test_loss,test_acc,test_f1,test_auc
6,3,identity,0.0,0.0,0.0,0.0,0.0,2.06763234018581e-05,11181642,18.860244750976562,18.860244750976562,1.0,14.149192041741276,1.4641216795321397,0.5210125998770744,0.42471363550074226,0.8581581799604573,1.2290070056915283,0.6154528856277466,0.5537413954734802,0.9097684621810913,1.3197273015975952,0.5697603225708008,0.4854195713996887,0.8833253979682922
6,4,identity,0.0,0.0,0.0,0.0,0.0,2.052317540801596e-05,11181642,18.855499267578125,18.855499267578125,1.0,14.14563192060701,1.4641216795321397,0.5210125998770744,0.42471363550074226,0.8581581799604573,1.2110159397125244,0.614292562007904,0.5425834059715271,0.911328136920929,1.325053095817566,0.5616933107376099,0.4714195430278778,0.8812131881713867
7,0,identity,0.0,0.0,0.0,0.0,0.0,1.9229482859373093e-05,11181642,18.801433563232422,18.801433563232422,1.0,14.105071151446273,1.3352026734237812,0.5670712968653965,0.4807548636898976,0.8829799322879506,1.1086996793746948,0.6523341536521912,0.5955102443695068,0.9251969456672668,1.2249720096588135,0.5999923348426819,0.5242902636528015,0.899337112903595
7,1,identity,0.0,0.0,0.0,0.0,0.0,1.9296012396807782e-05,11181642,18.805846214294434,18.805846214294434,1.0,14.108381577589409,1.3352026734237812,0.5670712968653965,0.4807548636898976,0.8829799322879506,1.0939538478851318,0.6554054021835327,0.6031193733215332,0.9280601143836975,1.2181137800216675,0.6013752222061157,0.5279471278190613,0.8998141884803772
7,2,identity,0.0,0.0,0.0,0.0,0.0,1.9072980649070814e-05,11181642,18.795312881469727,18.795312881469727,1.0,14.100479339259833,1.3352026734237812,0.5670712968653965,0.4807548636898976,0.8829799322879506,1.1415106058120728,0.6340864300727844,0.5782403349876404,0.9201645851135254,1.2580646276474,0.5846650004386902,0.5089461803436279,0.8940152525901794
7,3,identity,0.0,0.0,0.0,0.0,0.0,1.946625161508564e-05,11181642,18.812745094299316,18.812745094299316,1.0,14.11355720385253,1.3352026734237812,0.5670712968653965,0.4807548636898976,0.8829799322879506,1.1206625699996948,0.6497167348861694,0.5936411023139954,0.9237576127052307,1.2261013984680176,0.5991088151931763,0.5229846835136414,0.898813009262085
7,4,identity,0.0,0.0,0.0,0.0,0.0,1.9310469724587165e-05,11181642,18.806859970092773,18.806859970092773,1.0,14.109142109897634,1.3352026734237812,0.5670712968653965,0.4807548636898976,0.8829799322879506,1.1069451570510864,0.650877058506012,0.5914731621742249,0.9255673885345459,1.2306067943572998,0.5961124897003174,0.5188148617744446,0.8986675143241882
8,0,identity,0.0,0.0,0.0,0.0,0.0,1.8062066374113783e-05,11181642,18.749905586242676,18.749905586242676,1.0,14.066414217160592,1.2274907096148857,0.6053703134603565,0.5290586338023859,0.9009030307707576,1.0365020036697388,0.6715806722640991,0.6230515241622925,0.9327649474143982,1.1436216831207275,0.6270359754562378,0.5611411333084106,0.9117449522018433
8,1,identity,0.0,0.0,0.0,0.0,0.0,1.8103619368048385e-05,11181642,18.75413417816162,18.75413417816162,1.0,14.06958655982726,1.2274907096148857,0.6053703134603565,0.5290586338023859,0.9009030307707576,1.031762957572937,0.6708981990814209,0.6242061853408813,0.9342498779296875,1.1638286113739014,0.6191226243972778,0.5528217554092407,0.9083691239356995
8,2,identity,0.0,0.0,0.0,0.0,0.0,1.795083335309755e-05,11181642,18.748268127441406,18.748268127441406,1.0,14.065185775040911,1.2274907096148857,0.6053703134603565,0.5290586338023859,0.9009030307707576,1.0323989391326904,0.6736059188842773,0.6223099231719971,0.9343888163566589,1.1505836248397827,0.6254609823226929,0.5579639077186584,0.9108525514602661
