round_id,client_id,codec_class_used,wmape,wmspe_sqrt,mse,mape,mspe_sqrt,w_mean_of_vec,model_size,compressed_bytes,basic_raw_bytes,compression_ratio,entropy_real_rate,global_eval_loss,global_eval_acc,global_eval_f1,global_eval_auc,train_loss,train_acc,train_f1,train_auc,test_loss,test_acc,test_f1,test_auc,bins_per_plane,prior_rate,marginal_rate
7,4,3-split,105.23899280424934,263.7073889927925,3.5492471184284113e-09,2020.5514907836914,26.80976092815399,2.2591539163840935e-05,11181642,2.2129135131835938,18.91686725616455,8.548398816070277,1.6601554583843767,2.2907704484924336,0.17140442532267977,0.13877123936263683,0.619596623989414,1.826858401298523,0.39178213477134705,0.2933495342731476,0.7763500809669495,1.9243748188018799,0.3474569618701935,0.22872279584407806,0.7230664491653442,3,0.2226937711238861,1.5492444038391113
8,0,3-split,105.36057056733543,263.0639261540372,3.4532530168718267e-09,2001.212501525879,26.614660024642944,2.233844315924216e-05,11181642,2.2130393981933594,18.90674877166748,8.54334034319598,1.660249898896781,2.248396590690929,0.19184081130915795,0.15481768738640905,0.6370887605302062,1.797861933708191,0.3924379050731659,0.29970505833625793,0.7897980809211731,1.881994605064392,0.3650122880935669,0.24948875606060028,0.7384210228919983,3,0.23036372661590576,1.5486608743667603
8,1,3-split,105.41193030341398,263.63419466553444,3.5448863844322887e-09,2028.797721862793,26.83330476284027,2.258392487419769e-05,11181642,2.2123098373413086,18.915428161621094,8.550080934573396,1.6597025731998931,2.248396590690929,0.19184081130915795,0.15481768738640905,0.6370887605302062,1.825301170349121,0.3804941177368164,0.28281736373901367,0.7750141024589539,1.9081501960754395,0.35759833455085754,0.23951540887355804,0.7285115122795105,3,0.22161908447742462,1.5482869148254395
8,2,3-split,105.28049797499062,262.2281097409646,3.448472174483186e-09,2002.5028228759766,26.65989100933075,2.2394126062863506e-05,11181642,2.2121076583862305,18.907432556152344,8.547247908334457,1.6595508960133047,2.248396590690929,0.19184081130915795,0.15481768738640905,0.6370887605302062,1.797653079032898,0.39608219265937805,0.2939331531524658,0.7837077975273132,1.8810498714447021,0.36524277925491333,0.24718573689460754,0.7367507219314575,3,0.22087976336479187,1.5485371351242065
8,3,3-split,105.36143683264227,265.3044638302089,3.529124992240895e-09,2004.7021865844727,26.65165364742279,2.2391797756426968e-05,11181642,2.212251663208008,18.907455444335938,8.546701877903914,1.6596589302358276,2.248396590690929,0.19184081130915795,0.15481768738640905,0.6370887605302062,1.8076426982879639,0.39007577300071716,0.2859569787979126,0.7778131365776062,1.8874890804290771,0.36313000321388245,0.24595575034618378,0.7346036434173584,3,0.21536700427532196,1.5485103130340576
8,4,3-split,105.29395780946025,264.7994443251279,3.5961909006232418e-09,2029.471206665039,26.868417859077454,2.26466672756942e-05,11181642,2.2123565673828125,18.91683864593506,8.550537885632703,1.659737630662831,2.248396590690929,0.19184081130915795,0.15481768738640905,0.6370887605302062,1.7807273864746094,0.40638864040374756,0.30888473987579346,0.7922635674476624,1.878101110458374,0.3652043640613556,0.24811160564422607,0.7404254674911499,3,0.21893103420734406,1.5484319925308228
9,0,3-split,105.49303167270068,266.3849241529905,3.521418490137762e-09,1997.2763061523438,26.55315399169922,2.2276613890426233e-05,11181642,2.2122278213500977,18.901702880859375,8.544193639750846,1.659641043775145,2.2061588307722406,0.21373693915181316,0.17129697450578496,0.6540184463073493,1.781353235244751,0.3985121548175812,0.30807843804359436,0.7938638925552368,1.8606910705566406,0.3732713460922241,0.261646032333374,0.7463515996932983,3,0.22726082801818848,1.5480923652648926
9,1,3-split,105.47635912660623,263.5739078011957,3.559080807846726e-09,2035.0833892822266,26.873964071273804,2.2634270862909034e-05,11181642,2.210886001586914,18.914414405822754,8.555128754827928,1.6586343937679278,2.2061588307722406,0.21373693915181316,0.17129697450578496,0.6540184463073493,1.7526135444641113,0.42192190885543823,0.32758843898773193,0.8012472987174988,1.8319745063781738,0.38395053148269653,0.26828116178512573,0.7559472322463989,3,0.22126495838165283,1.547318696975708
9,2,3-split,105.44594276844586,262.9690084762762,3.521338332035384e-09,2023.1077194213867,26.816067099571228,2.2565725885215215e-05,11181642,2.211113929748535,18.91203498840332,8.553170749801275,1.6588053883320535,2.2061588307722406,0.21373693915181316,0.17129697450578496,0.6540184463073493,1.746512770652771,0.4211316704750061,0.3221927583217621,0.800096869468689,1.8392776250839233,0.3808005452156067,0.26434382796287537,0.7525433897972107,3,0.21676945686340332,1.5478405952453613
9,3,3-split,105.43284100142768,265.50232165758825,3.5530192121768778e-09,2011.9165420532227,26.70624554157257,2.2450729375123046e-05,11181642,2.2113113403320312,18.909215927124023,8.551132344975349,1.6589534882265056,2.2061588307722406,0.21373693915181316,0.17129697450578496,0.6540184463073493,1.7391331195831299,0.4224284887313843,0.31655797362327576,0.8004190325737,1.8282955884933472,0.38706207275390625,0.26801109313964844,0.7564868330955505,3,0.22212791442871094,1.5475959777832031
